tag,step,value
val_RMSE/diurnal_cos,3631,0.0353667
val_RMSE/diurnal_cos,4085,0.0989536
val_RMSE/diurnal_cos,4539,0.0721456
val_RMSE/diurnal_cos,4993,0.125346
val_RMSE/diurnal_cos,5447,0.0887186
val_RMSE/diurnal_cos,5901,0.485343
val_RMSE/diurnal_cos,6355,0.115922
val_RMSE/diurnal_cos,6809,0.0532051
val_RMSE/diurnal_cos,7263,0.0706512
val_RMSE/diurnal_cos,7717,0.0560283
val_RMSE/diurnal_cos,8171,0.0672975
val_RMSE/diurnal_cos,8625,0.0842736
val_RMSE/diurnal_cos,9079,0.0774656
val_RMSE/diurnal_cos,9533,0.110334
val_RMSE/diurnal_cos,9987,0.107403
val_RMSE/diurnal_cos,10441,0.0941837
val_RMSE/diurnal_cos,10895,0.136202
val_RMSE/diurnal_cos,11349,0.102577
val_RMSE/diurnal_cos,11803,0.0919942
val_RMSE/diurnal_cos,12257,0.0964594
val_RMSE/diurnal_cos,12711,0.104335
val_RMSE/diurnal_cos,13165,0.157249
val_RMSE/diurnal_cos,13619,0.16162
val_RMSE/diurnal_cos,14073,0.234492
val_RMSE/diurnal_cos,14527,0.165696
val_RMSE/diurnal_cos,14981,0.139886
val_RMSE/diurnal_cos,15435,0.146048
val_RMSE/diurnal_cos,15889,0.175546
val_RMSE/diurnal_cos,16343,0.164181
val_RMSE/diurnal_cos,16797,0.147808
val_RMSE/diurnal_cos,17251,0.143615
val_RMSE/diurnal_cos,17705,0.109518
val_RMSE/diurnal_cos,18159,0.113614
val_RMSE/diurnal_cos,18613,0.116043
val_RMSE/diurnal_cos,19067,0.106089
val_RMSE/diurnal_cos,19521,0.120846
val_RMSE/diurnal_cos,19975,0.135705
val_RMSE/diurnal_cos,20429,0.111596
val_RMSE/diurnal_cos,20883,0.0886005
val_RMSE/diurnal_cos,21337,0.48395
val_RMSE/diurnal_cos,21791,0.224254
val_RMSE/diurnal_cos,22245,2.09432
val_RMSE/diurnal_cos,22699,2.10317
val_RMSE/diurnal_cos,23153,0.800514
val_RMSE/diurnal_cos,23607,7.8949
val_RMSE/diurnal_cos,24061,5.97785
val_RMSE/diurnal_cos,24515,5.28021
val_RMSE/diurnal_cos,24969,5.52529
val_RMSE/diurnal_cos,25423,4.32861
val_RMSE/diurnal_cos,25877,4.05122
val_RMSE/diurnal_cos,26331,3.98958
val_RMSE/diurnal_cos,26785,3.9549
val_RMSE/diurnal_cos,27239,3.94553
val_RMSE/diurnal_cos,27693,3.9278
val_RMSE/diurnal_cos,28147,3.82693
val_RMSE/diurnal_cos,28601,3.5474
val_RMSE/diurnal_cos,29055,3.33596
val_RMSE/diurnal_cos,29509,3.10724
val_RMSE/diurnal_cos,29963,3.19417
val_RMSE/diurnal_cos,30417,3.32218
val_RMSE/diurnal_cos,30871,3.27874
val_RMSE/diurnal_cos,31325,3.45675
val_RMSE/diurnal_cos,31779,3.25375
val_RMSE/diurnal_cos,32233,3.27553
val_RMSE/diurnal_cos,32687,3.14229
val_RMSE/diurnal_cos,33141,3.13119
val_RMSE/diurnal_cos,33595,2.97779
val_RMSE/diurnal_cos,34049,2.91358
val_RMSE/diurnal_cos,34503,2.9457
val_RMSE/diurnal_cos,34957,2.71054
val_RMSE/diurnal_cos,35411,2.56093
val_RMSE/diurnal_cos,35865,2.23159
val_RMSE/diurnal_cos,36319,1.76644
val_RMSE/diurnal_cos,36773,0.842307
val_RMSE/diurnal_cos,37227,0.489124
val_RMSE/diurnal_cos,37681,0.242031
val_RMSE/diurnal_cos,38135,4.33123
val_RMSE/diurnal_cos,38589,3.12311
val_RMSE/diurnal_cos,39043,0.128459
val_RMSE/diurnal_cos,39497,0.116759
val_RMSE/diurnal_cos,39951,0.198104
val_RMSE/diurnal_cos,40405,0.0727292
val_RMSE/diurnal_cos,40859,0.0725867
val_RMSE/diurnal_cos,41313,0.0775495
val_RMSE/diurnal_cos,41767,1.03502
val_RMSE/diurnal_cos,42221,11.7634
val_RMSE/diurnal_cos,42675,9.31538
val_RMSE/diurnal_cos,43129,7.90741
val_RMSE/diurnal_cos,43583,6.76957
val_RMSE/diurnal_cos,44037,5.47604
val_RMSE/diurnal_cos,44491,4.49804
val_RMSE/diurnal_cos,44945,3.24944
val_RMSE/diurnal_cos,45399,0.44056
val_RMSE/diurnal_cos,45853,0.212085
val_RMSE/diurnal_cos,46307,0.133472
val_RMSE/diurnal_cos,46761,0.104179
val_RMSE/diurnal_cos,47215,0.0901982
val_RMSE/diurnal_cos,47669,0.083237
val_RMSE/diurnal_cos,48123,0.679489
val_RMSE/diurnal_cos,48577,0.0973213
val_RMSE/diurnal_cos,49031,0.448813
val_RMSE/diurnal_cos,49485,0.0656806
val_RMSE/diurnal_cos,49939,0.0749905
val_RMSE/diurnal_cos,50393,0.066593
val_RMSE/diurnal_cos,50847,0.0720815
val_RMSE/diurnal_cos,51301,0.0746607
val_RMSE/diurnal_cos,51755,0.304704
val_RMSE/diurnal_cos,52209,0.615965
val_RMSE/diurnal_cos,52663,0.680256
val_RMSE/diurnal_cos,53117,0.0939018
val_RMSE/diurnal_cos,53571,0.239284
val_RMSE/diurnal_cos,54025,0.640357
val_RMSE/diurnal_cos,54479,0.760155
val_RMSE/diurnal_cos,54933,0.676982
val_RMSE/diurnal_cos,55387,0.0625546
val_RMSE/diurnal_cos,55841,0.168916
val_RMSE/diurnal_cos,56295,0.164416
val_RMSE/diurnal_cos,56749,0.0573199
val_RMSE/diurnal_cos,57203,0.0748187
val_RMSE/diurnal_cos,57657,0.158234
val_RMSE/diurnal_cos,58111,0.356773
val_RMSE/diurnal_cos,58565,0.0939771
val_RMSE/diurnal_cos,59019,0.0891257
val_RMSE/diurnal_cos,59473,0.117624
val_RMSE/diurnal_cos,59927,1.45393
val_RMSE/diurnal_cos,60381,0.160831
val_RMSE/diurnal_cos,60835,0.105902
val_RMSE/diurnal_cos,61289,0.0685711
val_RMSE/diurnal_cos,61743,0.0593094
val_RMSE/diurnal_cos,62197,3.87158
val_RMSE/diurnal_cos,62651,0.113903
val_RMSE/diurnal_cos,63105,0.0611354
val_RMSE/diurnal_cos,63559,0.0554593
val_RMSE/diurnal_cos,64013,0.195539
val_RMSE/diurnal_cos,64467,0.613396
val_RMSE/diurnal_cos,64921,0.502857
val_RMSE/diurnal_cos,65375,0.156369
val_RMSE/diurnal_cos,65829,0.0548675
val_RMSE/diurnal_cos,66283,0.144194
val_RMSE/diurnal_cos,66737,0.0498153
val_RMSE/diurnal_cos,67191,0.0622834
val_RMSE/diurnal_cos,67645,0.0508967
val_RMSE/diurnal_cos,68099,0.179424
val_RMSE/diurnal_cos,68553,0.108174
val_RMSE/diurnal_cos,69007,0.0777001
val_RMSE/diurnal_cos,69461,0.107489
val_RMSE/diurnal_cos,69915,0.0823558
val_RMSE/diurnal_cos,70369,0.109089
val_RMSE/diurnal_cos,70823,0.270184
val_RMSE/diurnal_cos,71277,0.0706686
val_RMSE/diurnal_cos,71731,0.0460842
val_RMSE/diurnal_cos,72185,0.239884
val_RMSE/diurnal_cos,72639,0.0712119
val_RMSE/diurnal_cos,73093,0.0460072
val_RMSE/diurnal_cos,73547,0.0497128
val_RMSE/diurnal_cos,74001,1.21245
val_RMSE/diurnal_cos,74455,0.0515761
val_RMSE/diurnal_cos,74909,0.455584
val_RMSE/diurnal_cos,75363,0.0515793
val_RMSE/diurnal_cos,75817,0.0623414
val_RMSE/diurnal_cos,76271,0.0453318
